"filename", "language", "Dart", "YAML", "JSON", "C++", "Markdown", "HTML", "XML", "Swift", "Properties", "Groovy", "comment", "blank", "total"
"d:\TY Project\MyGate\lib\screens\Parcel\DeliveryList.dart", "Dart", 195, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 11, 213
"d:\TY Project\MyGate\lib\screens\Parcel\deliveryCreation.dart", "Dart", 353, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 10, 366
"d:\TY Project\MyGate\lib\screens\Profile Page\profilepage.dart", "Dart", 421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 13, 438
"d:\TY Project\MyGate\lib\screens\complaints\complaints.dart", "Dart", 432, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 13, 451
"d:\TY Project\MyGate\lib\screens\homescreen\home_screen.dart", "Dart", 452, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15, 468
"d:\TY Project\MyGate\lib\screens\login\commlogin.dart", "Dart", 320, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12, 333
"d:\TY Project\MyGate\lib\screens\login\resilogin.dart", "Dart", 320, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 17, 342
"d:\TY Project\MyGate\lib\screens\login\roleselect.dart", "Dart", 223, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 231
"d:\TY Project\MyGate\lib\screens\login\signup.dart", "Dart", 408, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8, 419
"d:\TY Project\MyGate\lib\screens\login\stafflogin.dart", "Dart", 320, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9, 330
"d:\TY Project\MyGate\lib\screens\notice_board\notice_board.dart", "Dart", 325, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 12, 342
"d:\TY Project\MyGate\lib\screens\payments\paymentCreation.dart", "Dart", 530, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 18, 554
"d:\TY Project\MyGate\lib\screens\splashscreen\splash_screen.dart", "Dart", 92, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 13, 108
"d:\TY Project\MyGate\lib\screens\visitor\VerifyingVisitor.dart", "Dart", 331, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12, 345
"d:\TY Project\MyGate\lib\screens\visitor\VisitorPage.dart", "Dart", 499, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 17, 518
"d:\TY Project\MyGate\pubspec.yaml", "YAML", 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 42, 7, 90
"d:\TY Project\MyGate\test\widget_test.dart", "Dart", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 7, 31
"d:\TY Project\MyGate\web\index.html", "HTML", 0, 0, 0, 0, 0, 79, 0, 0, 0, 0, 14, 6, 99
"d:\TY Project\MyGate\web\manifest.json", "JSON", 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 1, 24
"Total", "-", 5313, 44, 210, 1, 13, 79, 207, 12, 8, 82, 197, 278, 6444
