"filename", "language", "Dart", "comment", "blank", "total"
"d:\TY Project\MyGate\lib\screens\Parcel\deliveryCreation.dart", "Dart", 1, 0, 0, 1
"d:\TY Project\MyGate\lib\screens\complaints\complaints.dart", "Dart", 1, 0, -1, 0
"d:\TY Project\MyGate\lib\screens\helpcenter\helpdesk.dart", "Dart", -499, -2, -16, -517
"d:\TY Project\MyGate\lib\screens\homescreen\home_screen.dart", "Dart", -11, 0, 0, -11
"d:\TY Project\MyGate\lib\screens\notice_board\notice_board.dart", "Dart", -6, 0, 0, -6
"d:\TY Project\MyGate\lib\screens\visitor\VerifyingVisitor.dart", "Dart", 2, 0, 0, 2
"Total", "-", -512, -2, -17, -531
